Date,Open,High,Low,Close,Adj Close,Volume
2020-09-02,28736.789063,29162.880859,28713.529297,29100.500000,29100.500000,539510000
2020-09-03,29090.699219,29199.349609,28074.759766,28292.730469,28292.730469,650080000
2020-09-04,28341.050781,28539.750000,27664.679688,28133.310547,28133.310547,694640000
2020-09-08,27925.230469,27925.230469,27464.900391,27500.890625,27500.890625,580860000
2020-09-09,27711.710938,28206.210938,27704.539063,27940.470703,27940.470703,460590000
2020-09-10,28022.509766,28174.779297,27447.080078,27534.580078,27534.580078,442850000
2020-09-11,27613.859375,27828.820313,27448.150391,27665.640625,27665.640625,435330000
2020-09-14,27718.740234,28086.060547,27718.740234,27993.330078,27993.330078,380750000
2020-09-15,28139.759766,28231.060547,27931.449219,27995.599609,27995.599609,414520000
2020-09-16,28031.689453,28364.769531,28021.669922,28032.380859,28032.380859,416650000
2020-09-17,27834.179688,28056.789063,27647.929688,27901.980469,27901.980469,437230000
2020-09-18,27864.869141,27946.689453,27487.970703,27657.419922,27657.419922,698710000
